pl_name,hostname,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2
HD 169830 b,HD 169830,Radial Velocity,2000,0,225.67372,0.05685,-0.065,0,13.2,,,0,37.6048,0.1484,-0.1473
HD 169830 c,HD 169830,Radial Velocity,2003,0,1818.82339,5.67578,-6.41838,0,12.6,,,0,37.6048,0.1484,-0.1473
HD 170469 b,HD 170469,Radial Velocity,2007,0,1145,18,-18,0,14.1,,,0,60.178,0.1491,-0.1484
HD 17092 b,HD 17092,Radial Velocity,2007,0,359.89999,2.4,-2.4,0,12.5,,,0,228.422,2.713,-2.713
HD 171028 b,HD 171028,Radial Velocity,2007,0,550,3,-3,0,13.2,,,0,111.659,0.627,-0.621
HD 171238 b,HD 171238,Radial Velocity,2009,0,1515,16,-17,0,12.5,,,0,44.8113,0.1117,-0.1112
HD 17156 b,HD 17156,Radial Velocity,2007,0,21.2164294,0.0000061,-0.0000061,0,12.26262489,0.3474784,-0.33626942,0,78.0863,0.2397,-0.2383
HD 173416 b,HD 173416,Radial Velocity,2008,0,322.03,1.33,-1.52,0,13.4,,,0,132.184,0.7355,-0.7355
HD 174205 b,HD 174205,Radial Velocity,2022,0,582,17,-17,0,13,,,0,234.027,1.392,-1.375
HD 175167 b,HD 175167,Radial Velocity,2009,0,1175,25,-25,0,12.3,,,0,71.0863,0.1691,-0.1684
HD 175541 b,HD 175541,Radial Velocity,2007,0,298.43,0.45,-0.45,0,14.1,,,0,129.603,1.0065,-1.0065
HD 175607 b,HD 175607,Radial Velocity,2015,0,29.01,0.02,-0.02,0,,,,,40.3303,0.0616,-0.0613
HD 17674 b,HD 17674,Radial Velocity,2017,0,623.8,1.6,-1.5,0,13.9,,,0,44.4264,0.0861,-0.0859
HD 176986 b,HD 176986,Radial Velocity,2017,0,6.49164,0.0003,-0.00029,0,,,,,27.7843,0.0483,-0.0481
HD 176986 c,HD 176986,Radial Velocity,2017,0,16.8124,0.0015,-0.0015,0,,,,,27.7843,0.0483,-0.0481
HD 176986 d,HD 176986,Radial Velocity,2026,0,61.376,0.051,-0.049,0,2.49,,,0,27.7843,0.0483,-0.0481
HD 177565 b,HD 177565,Radial Velocity,2017,0,44.505,0.586,-0.293,0,4,,,0,16.9179,0.0192,-0.0192
HD 177830 b,HD 177830,Radial Velocity,1999,0,410.10001,2.2,-2.2,0,13.5,,,0,62.7674,0.1244,-0.1244
HD 177830 c,HD 177830,Radial Velocity,2010,0,110.9,0.1,-0.1,0,7.87,,,0,62.7674,0.1244,-0.1244
HD 178911 B b,HD 178911 B,Radial Velocity,2001,0,71.484,0.02,-0.02,0,12.6,,,0,40.9727,0.0464,-0.0462
HD 179079 b,HD 179079,Radial Velocity,2008,0,14.479,0.01,-0.01,0,,,,,69.7116,0.3982,-0.3938
HD 179949 b,HD 179949,Radial Velocity,2000,0,3.092514,0.000032,-0.000032,0,13.9,,,0,27.4573,0.0578,-0.0577
HD 180053 b,HD 180053,Radial Velocity,2018,0,213.72,0.47,-0.47,0,13.3,,,0,137.043,0.609,-0.609
HD 18015 b,HD 18015,Radial Velocity,2018,0,2278,71,-71,0,13.1,,,0,123.801,0.7975,-0.7975
HD 180314 b,HD 180314,Radial Velocity,2010,0,394.73,0.13,-0.13,0,12,,,0,122.362,0.449,-0.449
HD 180617 b,HD 180617,Radial Velocity,2018,0,105.911,0.109,-0.109,0,3.53,,,0,5.91059,0.00183,-0.00183
